Name,Assets
HDFC Bank Ltd.,0.0816
ICICI Bank Ltd.,0.04650000000000001
Reliance Industries Ltd.,0.045599999999999995
State Bank of India,0.0392
Axis Bank Ltd.,0.0379
Infosys Ltd.,0.036000000000000004
Kotak Mahindra Bank Ltd.,0.0355
Larsen & Toubro Ltd.,0.0353
ITC Ltd.,0.023700000000000002
Tata Consultancy Services Ltd.,0.0191
