Name,Assets
Infosys Ltd.,0.2693
Tata Consultancy Services Ltd.,0.252
Tech Mahindra Ltd.,0.105
HCL Technologies Ltd.,0.0949
Wipro Ltd.,0.0832
LTIMindtree Ltd.,0.0581
Persistent Systems Ltd.,0.047400000000000005
Coforge Ltd.,0.040999999999999995
Mphasis Ltd.,0.0256
L&T Technology Services Ltd.,0.0166
