Name,Assets
Reliance Industries Ltd.,0.0951
HDFC Bank Ltd.,0.091
Adani Power Ltd.,0.0888
JIO Financial Services Ltd.,0.0545
Aurobindo Pharma Ltd.,0.0441
Britannia Industries Ltd.,0.0434
Tata Consultancy Services Ltd.,0.0417
Hindalco Industries Ltd.,0.041100000000000005
Jindal Steel & Power Ltd.,0.0378
Tata Power Company Ltd.,0.037599999999999995
