Name,Assets
HDFC Bank Ltd.,0.1869
ICICI Bank Ltd.,0.1624
Axis Bank Ltd.,0.09449999999999999
State Bank of India,0.058600000000000006
Kotak Mahindra Bank Ltd.,0.0508
The Federal Bank Ltd.,0.0418
SBI Life Insurance Company Ltd.,0.036000000000000004
Indusind Bank Ltd.,0.0329
SBI Cards And Payment Services Ltd.,0.0294
ICICI Prudential Life Insurance Company Ltd.,0.0269
