Name,Assets
Mahindra & Mahindra Ltd.,0.026000000000000002
Hindalco Industries Ltd.,0.0245
Divi's Laboratories Ltd.,0.0245
Eicher Motors Ltd.,0.0231
Coal India Ltd.,0.0222
Power Grid Corporation Of India Ltd.,0.0219
Axis Bank Ltd.,0.0219
Adani Ports and Special Economic Zone Ltd.,0.0219
State Bank of India,0.0217
Bharti Airtel Ltd.,0.0216
