Name,Assets
Techno Electric & Engineering Company Ltd.,0.0326
Cyient Ltd.,0.0318
Suprajit Engineering Ltd.,0.0304
Jubilant Ingrevia Ltd.,0.0271
Voltamp Transformers Ltd.,0.0254
eClerx Services Ltd.,0.025
Ipca Laboratories Ltd.,0.024700000000000003
Kirloskar Oil Engines Ltd.,0.024
Ratnamani Metals & Tubes Ltd.,0.022099999999999998
Lumax Auto Technologies Ltd.,0.021400000000000002
